source,service,action,access,description,risk_category_credentialexposure,risk_category_dataaccess,risk_category_privesc,risk_category_resourceexposure
aws,AWS WAF,waf:GetChangeToken,Read,"Grants permission to retrieve a change token to use in create, update, and delete requests",1,0,0,0
aws,Amazon OpenSearch Serverless,aoss:APIAccessAll,Write,Grant permission to all the supported Opensearch APIs,0,1,0,0
aws,Amazon OpenSearch Serverless,aoss:DashboardsAccessAll,Write,Grants permission to Opensearch Serverless Dashboards,0,1,0,0
aws,AWS AppSync,appsync:GetDataSource,Read,Grants permission to retrieve a data source,0,1,0,0
aws,AWS AppSync,appsync:GetFunction,Read,Grants permission to retrieve a function,0,1,0,0
aws,Amazon Athena,athena:GetQueryExecution,Read,Grants permission to get information about the specified query execution,0,1,0,0
aws,Amazon Athena,athena:GetQueryResults,Read,Grants permission to get the query results,0,1,0,0
aws,Amazon Athena,athena:GetQueryResultsStream,Read,Grants permission to get the query results stream,0,1,0,0
aws,Amazon Keyspaces (for Apache Cassandra),cassandra:Select,Read,Grants permission to SELECT data from a table,0,1,0,0
aws,AWS Chatbot,chatbot:DescribeSlackChannels,Read,Grants permission to list all public Slack channels in the Slack workspace connected to the AWS Account onboarded with AWS Chatbot service,0,1,0,0
aws,AWS Chatbot,chatbot:DescribeSlackUserIdentities,Read,Grants permission to describe AWS Chatbot Slack User Identities,0,1,0,0
aws,AWS Chatbot,chatbot:ListMicrosoftTeamsConfiguredTeams,Read,Grants permission to list all Microsoft Teams connected to the AWS Account onboarded with AWS Chatbot service,0,1,0,0
aws,AWS Chatbot,chatbot:ListMicrosoftTeamsUserIdentities,Read,Grants permission to describe AWS Chatbot Microsoft Teams User Identities,0,1,0,0
aws,Amazon Chime,chime:GetAttendee,Read,Grants permission to get attendee details for a specified meeting ID and attendee ID,0,1,0,0
aws,Amazon Chime,chime:GetChannelMessage,Read,Grants permission to get the full details of a channel message,0,1,0,0
aws,Amazon Chime,chime:GetMeeting,Read,Grants permission to get the meeting record for a specified meeting ID,0,1,0,0
aws,Amazon Chime,chime:GetMeetingDetail,Read,"Grants permission to get attendee, connection, and other details for a meeting",0,1,0,0
aws,Amazon Chime,chime:GetRoom,Read,Grants permission to retrieve a room,0,1,0,0
aws,Amazon Chime,chime:GetUser,Read,Grants permission to get details for the specified user ID,0,1,0,0
aws,Amazon Chime,chime:GetUserActivityReportData,Read,Grants permission to get a summary of user activity on the user details page,0,1,0,0
aws,Amazon Chime,chime:GetUserByEmail,Read,Grants permission to get user details for an Amazon Chime user based on the email address in an Amazon Chime Enterprise or Team account,0,1,0,0
aws,Amazon Chime,chime:GetUserSettings,Read,Grants permission to get user settings related to the specified Amazon Chime user,0,1,0,0
aws,Amazon Chime,chime:ListAttendees,List,Grants permission to list up to 100 attendees for a specified Amazon Chime SDK meeting,0,1,0,0
aws,Amazon Chime,chime:ListMeetingEvents,List,Grants permission to list all events that occurred for a specified meeting,0,1,0,0
aws,Amazon Chime,chime:ListMeetings,List,Grants permission to list up to 100 active Amazon Chime SDK meetings,0,1,0,0
aws,Amazon Chime,chime:ListUsers,List,Grants permission to list the users that belong to the specified Amazon Chime account,0,1,0,0
aws,AWS Clean Rooms,cleanrooms:GetProtectedQuery,Read,Grants permission to view a protected query,0,1,0,0
aws,AWS CloudFormation & Cloud Control API,cloudformation:GetTemplate,Read,Grants permission to return the template body for a specified stack,0,1,0,0
aws,Amazon CloudFront,cloudfront:GetFunction,Read,Grants permission to get a CloudFront function's code,0,1,0,0
aws,AWS CloudTrail,cloudtrail:GetQueryResults,Read,Grants permission to fetch results of a complete query,0,1,0,0
aws,AWS CloudTrail,cloudtrail:LookupEvents,Read,"Grants permission to look up and retrieve metric data for API activity events captured by CloudTrail that create, update, or delete resources in your account",0,1,0,0
aws,AWS CodeArtifact,codeartifact:GetPackageVersionAsset,Read,Grants permission to return an asset (or file) that is part of a package version,0,1,0,0
aws,AWS CodeArtifact,codeartifact:GetPackageVersionReadme,Read,Grants permission to return a package version's readme file,0,1,0,0
aws,AWS CodeArtifact,codeartifact:ReadFromRepository,Read,Grants permission to return package assets and metadata from a repository endpoint,0,1,0,0
aws,AWS CodeBuild,codebuild:BatchGetReportGroups,Read,Grants permission to return an array of ReportGroup objects that are specified by the input reportGroupArns parameter,0,1,0,0
aws,AWS CodeBuild,codebuild:BatchGetReports,Read,Grants permission to return an array of the Report objects specified by the input reportArns parameter,0,1,0,0
aws,AWS CodeCommit,codecommit:BatchGetCommits,Read,Grants permission to return information about one or more commits in an AWS CodeCommit repository,0,1,0,0
aws,AWS CodeCommit,codecommit:BatchGetPullRequests,Read,Grants permission to return information about one or more pull requests in an AWS CodeCommit repository,0,1,0,0
aws,AWS CodeCommit,codecommit:BatchGetRepositories,Read,Grants permission to get information about multiple repositories,0,1,0,0
aws,AWS CodeCommit,codecommit:DescribeMergeConflicts,Read,Grants permission to get information about specific merge conflicts when attempting to merge two commits using either the three-way or the squash merge option,0,1,0,0
aws,AWS CodeCommit,codecommit:DescribePullRequestEvents,Read,Grants permission to return information about one or more pull request events,0,1,0,0
aws,AWS CodeCommit,codecommit:GetApprovalRuleTemplate,Read,Grants permission to return information about an approval rule template,0,1,0,0
aws,AWS CodeCommit,codecommit:GetBlob,Read,Grants permission to view the encoded content of an individual file in an AWS CodeCommit repository from the AWS CodeCommit console,0,1,0,0
aws,AWS CodeCommit,codecommit:GetBranch,Read,Grants permission to get details about a branch in an AWS CodeCommit repository with this API; does not control Git branch actions,0,1,0,0
aws,AWS CodeCommit,codecommit:GetComment,Read,"Grants permission to get the content of a comment made on a change, file, or commit in a repository",0,1,0,0
aws,AWS CodeCommit,codecommit:GetCommentReactions,Read,Grants permission to get the reactions on a comment,0,1,0,0
aws,AWS CodeCommit,codecommit:GetCommentsForComparedCommit,Read,Grants permission to get information about comments made on the comparison between two commits,0,1,0,0
aws,AWS CodeCommit,codecommit:GetCommentsForPullRequest,Read,Grants permission to get comments made on a pull request,0,1,0,0
aws,AWS CodeCommit,codecommit:GetCommit,Read,"Grants permission to return information about a commit, including commit message and committer information, with this API; does not control Git log actions",0,1,0,0
aws,AWS CodeCommit,codecommit:GetCommitHistory,Read,Grants permission to get information about the history of commits in a repository,0,1,0,0
aws,AWS CodeCommit,codecommit:GetCommitsFromMergeBase,Read,Grants permission to get information about the difference between commits in the context of a potential merge,0,1,0,0
aws,AWS CodeCommit,codecommit:GetDifferences,Read,"Grants permission to view information about the differences between valid commit specifiers such as a branch, tag, HEAD, commit ID, or other fully qualified reference",0,1,0,0
aws,AWS CodeCommit,codecommit:GetFile,Read,Grants permission to return the base-64 encoded contents of a specified file and its metadata,0,1,0,0
aws,AWS CodeCommit,codecommit:GetFolder,Read,Grants permission to return the contents of a specified folder in a repository,0,1,0,0
aws,AWS CodeCommit,codecommit:GetMergeCommit,Read,Grants permission to get information about a merge commit created by one of the merge options for pull requests that creates merge commits. Not all merge options create merge commits. This permission does not control Git merge actions,0,1,0,0
aws,AWS CodeCommit,codecommit:GetMergeConflicts,Read,Grants permission to get information about merge conflicts between the before and after commit IDs for a pull request in a repository,0,1,0,0
aws,AWS CodeCommit,codecommit:GetMergeOptions,Read,Grants permission to get information about merge options for pull requests that can be used to merge two commits; does not control Git merge actions,0,1,0,0
aws,AWS CodeCommit,codecommit:GetObjectIdentifier,Read,"Grants permission to resolve blobs, trees, and commits to their identifier",0,1,0,0
aws,AWS CodeCommit,codecommit:GetPullRequest,Read,Grants permission to get information about a pull request in a specified repository,0,1,0,0
aws,AWS CodeCommit,codecommit:GetPullRequestApprovalStates,Read,Grants permission to retrieve the current approvals on an inputted pull request,0,1,0,0
aws,AWS CodeCommit,codecommit:GetPullRequestOverrideState,Read,Grants permission to retrieve the current override state of a given pull request,0,1,0,0
aws,AWS CodeCommit,codecommit:GetReferences,Read,Grants permission to get details about references in an AWS CodeCommit repository; does not control Git reference actions,0,1,0,0
aws,AWS CodeCommit,codecommit:GetTree,Read,Grants permission to view the contents of a specified tree in an AWS CodeCommit repository from the AWS CodeCommit console,0,1,0,0
aws,AWS CodeCommit,codecommit:GitPull,Read,Grants permission to pull information from an AWS CodeCommit repository to a local repo,0,1,0,0
aws,Amazon CodeGuru Profiler,codeguru-profiler:GetRecommendations,Read,Grants permission to get recommendations,0,1,0,0
aws,Amazon CodeGuru Reviewer,codeguru-reviewer:DescribeCodeReview,Read,Grants permission to describe a code review,0,1,0,0
aws,Amazon CodeGuru Reviewer,codeguru-reviewer:DescribeRecommendationFeedback,Read,Grants permission to describe a recommendation feedback on a code review,0,1,0,0
aws,AWS CodePipeline,codepipeline:GetPipelineExecution,Read,"Grants permission to view information about an execution of a pipeline, including details about artifacts, the pipeline execution ID, and the name, version, and status of the pipeline",0,1,0,0
aws,Amazon Cognito Identity,cognito-identity:LookupDeveloperIdentity,Read,Grants permission to retrieve the IdentityId associated with a DeveloperUserIdentifier or the list of DeveloperUserIdentifiers associated with an IdentityId for an existing identity,0,1,0,0
aws,Amazon Cognito User Pools,cognito-idp:AdminGetDevice,Read,Grants permission to get information about any user's devices,0,1,0,0
aws,Amazon Cognito User Pools,cognito-idp:AdminGetUser,Read,Grants permission to look up any user by user name,0,1,0,0
aws,Amazon Cognito User Pools,cognito-idp:AdminListDevices,List,Grants permission to list any user's remembered devices,0,1,0,0
aws,Amazon Cognito User Pools,cognito-idp:AdminListGroupsForUser,List,Grants permission to list the groups that any user belongs to,0,1,0,0
aws,Amazon Cognito User Pools,cognito-idp:AdminListUserAuthEvents,Read,Grants permission to lists sign-in events for any user,0,1,0,0
aws,Amazon Cognito User Pools,cognito-idp:GetDevice,Read,Grants permission to get the device,0,1,0,0
aws,Amazon Cognito User Pools,cognito-idp:GetGroup,Read,Grants permission to describe a user pool group,0,1,0,0
aws,Amazon Cognito User Pools,cognito-idp:GetUser,Read,Grants permission to get the user attributes and metadata for a user,0,1,0,0
aws,Amazon Cognito User Pools,cognito-idp:ListUsers,List,Grants permission to list all user pool users,0,1,0,0
aws,Amazon Cognito User Pools,cognito-idp:ListDevices,List,Grants permission to list the devices,0,1,0,0
aws,Amazon Cognito User Pools,cognito-idp:ListGroups,List,Grants permission to list all groups in user pools,0,1,0,0
aws,Amazon Cognito Sync,cognito-sync:ListRecords,Read,"Grants permission to get paginated records, optionally changed after a particular sync count for a dataset and identity",0,1,0,0
aws,Amazon Cognito Sync,cognito-sync:QueryRecords,Read,Grants permission to query records,0,1,0,0
aws,Amazon Connect,connect:ListUsers,List,Grants permission to list user resources in an Amazon Connect instance,0,1,0,0
aws,AWS Data Pipeline,datapipeline:QueryObjects,Read,Grants permission to query the specified pipeline for the names of objects that match the specified set of conditions,0,1,0,0
aws,Amazon DynamoDB Accelerator (DAX),dax:BatchGetItem,Read,Grants permission to return the attributes of one or more items from one or more tables,0,1,0,0
aws,Amazon DynamoDB Accelerator (DAX),dax:GetItem,Read,Grants permission to the GetItem operation that returns a set of attributes for the item with the given primary key,0,1,0,0
aws,Amazon DynamoDB Accelerator (DAX),dax:Query,Read,Grants permission to use the primary key of a table or a secondary index to directly access items from that table or index,0,1,0,0
aws,Amazon DynamoDB Accelerator (DAX),dax:Scan,Read,Grants permission to return one or more items and item attributes by accessing every item in a table or a secondary index,0,1,0,0
aws,Amazon DynamoDB,dynamodb:BatchGetItem,Read,Grants permission to return the attributes of one or more items from one or more tables,0,1,0,0
aws,Amazon DynamoDB,dynamodb:GetItem,Read,Grants permission to the GetItem operation that returns a set of attributes for the item with the given primary key,0,1,0,0
aws,Amazon DynamoDB,dynamodb:GetRecords,Read,Grants permission to retrieve the stream records from a given shard,0,1,0,0
aws,Amazon DynamoDB,dynamodb:Query,Read,Grants permission to use the primary key of a table or a secondary index to directly access items from that table or index,0,1,0,0
aws,Amazon DynamoDB,dynamodb:Scan,Read,Grants permission to return one or more items and item attributes by accessing every item in a table or a secondary index,0,1,0,0
aws,Amazon Elastic Container Registry,ecr:GetDownloadUrlForLayer,Read,Grants permission to retrieve the download URL corresponding to an image layer,0,1,0,0
aws,Amazon OpenSearch Service,es:ESHttpDelete,Write,Grants permission to send HTTP DELETE requests to the OpenSearch APIs,0,1,0,0
aws,Amazon OpenSearch Service,es:ESHttpGet,Read,Grants permission to send HTTP GET requests to the OpenSearch APIs,0,1,0,0
aws,Amazon OpenSearch Service,es:ESHttpHead,Read,Grants permission to send HTTP HEAD requests to the OpenSearch APIs,0,1,0,0
aws,Amazon OpenSearch Service,es:ESHttpPatch,Write,Grants permission to send HTTP PATCH requests to the OpenSearch APIs,0,1,0,0
aws,Amazon OpenSearch Service,es:ESHttpPost,Write,Grants permission to send HTTP POST requests to the OpenSearch APIs,0,1,0,0
aws,Amazon OpenSearch Service,es:ESHttpPut,Write,Grants permission to send HTTP PUT requests to the OpenSearch APIs,0,1,0,0
aws,Amazon GameLift,gamelift:GetInstanceAccess,Read,Grants permission to request remote access to a specified fleet instance,1,1,0,0
aws,AWS HealthLake,healthlake:ReadResource,Read,Grants permission to read resource,0,1,0,0
aws,AWS HealthLake,healthlake:SearchWithGet,Read,Grants permission to search resources with GET method,0,1,0,0
aws,AWS HealthLake,healthlake:SearchWithPost,Read,Grants permission to search resources with POST method,0,1,0,0
aws,Amazon Kendra,kendra:Query,Read,Grants permission to query documents and faqs,0,1,0,0
aws,Amazon Kinesis Data Streams,kinesis:GetRecords,Read,Grants permission to get data records from a shard,0,1,0,0
aws,Amazon Kinesis Video Streams,kinesisvideo:GetImages,Read,Grants permission to get generated images from your Kinesis video stream,0,1,0,0
aws,Amazon Kinesis Video Streams,kinesisvideo:GetMedia,Read,Grants permission to return media content of a Kinesis video stream,0,1,0,0
aws,AWS Key Management Service,kms:CreateGrant,Permissions management,Controls permission to add a grant to an AWS KMS key. You can use grants to add permissions without changing the key policy or IAM policy,0,1,1,1
aws,AWS Lambda,lambda:GetFunction,Read,Grants permission to view details about an AWS Lambda function,0,1,0,0
aws,AWS Lambda,lambda:GetLayerVersion,Read,Grants permission to view details about a version of an AWS Lambda layer. Note this action also supports GetLayerVersionByArn API,0,1,0,0
aws,Amazon Lightsail,lightsail:GetContainerImages,Read,Grants permission to view the container images that are registered to your Amazon Lightsail container service,0,1,0,0
aws,Amazon CloudWatch Logs,logs:GetLogEvents,Read,Grants permission to retrieve log events from the specified log stream,0,1,0,0
aws,Amazon CloudWatch Logs,logs:GetLogRecord,Read,Grants permission to retrieve all the fields and values of a single log event,0,1,0,0
aws,Amazon CloudWatch Logs,logs:GetQueryResults,Read,Grants permission to return the results from the specified query,0,1,0,0
aws,Amazon CloudWatch Logs,logs:Unmask,Read,Grants permission to fetch unmasked log events that have been redacted with a data protection policy,0,1,0,0
aws,Amazon Macie,macie2:GetFindings,Read,Grants permission to retrieve the details of one or more findings,0,1,0,0
aws,AWS Elemental MediaStore,mediastore:GetObject,Read,Grants permission to retrieve an object,0,1,0,0
aws,Amazon QLDB,qldb:GetBlock,Read,Grants permission to retrieve a block from a ledger for a given BlockAddress,0,1,0,0
aws,"Amazon RDS, Neptune & DocumentDB",rds:DownloadCompleteDBLogFile,Read,Grants permission to download specified log file,0,1,0,0
aws,"Amazon RDS, Neptune & DocumentDB",rds:DownloadDBLogFilePortion,Read,"Grants permission to download all or a portion of the specified log file, up to 1 MB in size",0,1,0,0
aws,AWS RoboMaker,robomaker:GetWorldTemplateBody,Read,Get the body of a world template,0,1,0,0
aws,Amazon S3 Object Lambda,s3-object-lambda:GetObject,Read,Grants permission to retrieve objects from Amazon S3,0,1,0,0
aws,Amazon S3 Object Lambda,s3-object-lambda:GetObjectVersion,Read,Grants permission to retrieve a specific version of an object,0,1,0,0
aws,Amazon S3 Object Lambda,s3-object-lambda:ListBucket,List,Grants permission to list some or all of the objects in an Amazon S3 bucket (up to 1000),0,1,0,0
aws,Amazon S3,s3:GetObject,Read,Grants permission to retrieve objects from Amazon S3,0,1,0,0
aws,Amazon S3,s3:GetObjectVersion,Read,Grants permission to retrieve a specific version of an object,0,1,0,0
aws,Amazon SageMaker,sagemaker:Search,Read,Grants permission to search for SageMaker objects,0,1,0,0
aws,Amazon SimpleDB,sdb:Select,Read,Description for Select,0,1,0,0
aws,AWS Serverless Application Repository,serverlessrepo:GetApplication,Read,Grants permission to get the specified application,0,1,0,0
aws,AWS Serverless Application Repository,serverlessrepo:GetCloudFormationTemplate,Read,Grants permission to get the specified AWS CloudFormation template,0,1,0,0
aws,Amazon SQS,sqs:ReceiveMessage,Read,"Grants permission to retrieve one or more messages, with a maximum limit of 10 messages, from the specified queue",0,1,0,0
aws,AWS Systems Manager,ssm:GetDocument,Read,Grants permission to view the contents of a specified SSM document,0,1,0,0
aws,AWS Systems Manager,ssm:GetParameter,Read,Grants permission to view information about a specified parameter,0,1,0,0
aws,AWS Systems Manager,ssm:GetParameterHistory,Read,Grants permission to view details and changes for a specified parameter,0,1,0,0
aws,AWS Systems Manager,ssm:GetParameters,Read,Grants permission to view information about multiple specified parameters,0,1,0,0
aws,AWS Systems Manager,ssm:GetParametersByPath,Read,Grants permission to view information about parameters in a specified hierarchy,0,1,0,0
aws,AWS IAM Identity Center Directory,sso-directory:DescribeGroup,Read,"Grants permission to query the group data, not including user and group members",0,1,0,0
aws,AWS IAM Identity Center Directory,sso-directory:DescribeUser,Read,Grants permission to retrieve information about a user from the directory that AWS IAM Identity Center provides by default,0,1,0,0
aws,AWS IAM Identity Center Directory,sso-directory:SearchGroups,Read,Grants permission to search for groups within the associated directory,0,1,0,0
aws,AWS IAM Identity Center Directory,sso-directory:SearchUsers,Read,Grants permission to search for users within the associated directory,0,1,0,0
aws,AWS IAM Identity Center,sso:SearchGroups,Read,Grants permission to search for groups within the associated directory,0,1,0,0
aws,AWS IAM Identity Center,sso:SearchUsers,Read,Grants permission to search for users within the associated directory,0,1,0,0
aws,AWS Support,support:DescribeAttachment,Read,Grants permission to describe attachment detail,0,1,0,0
aws,AWS Support,support:DescribeCommunications,Read,Grants permission to list the communications and attachments for one or more AWS Support cases,0,1,0,0
aws,AWS WAF V2,wafv2:GetSampledRequests,Read,Grants permission to retrieve detailed information about a sampling of web requests,0,1,0,0
aws,Amazon WorkDocs,workdocs:GetDocument,Read,Grants permission to retrieve the specified document object,0,1,0,0
aws,Amazon WorkDocs,workdocs:GetDocumentPath,Read,Grants permission to retrieve the path information (the hierarchy from the root folder) for the requested document,0,1,0,0
aws,Amazon WorkDocs,workdocs:GetDocumentVersion,Read,Grants permission to retrieve version metadata for the specified document,0,1,0,0
aws,Amazon WorkMail,workmail:ListGroupMembers,List,Grants permission to read an overview of the members of a group. Users and groups can be members of a group,0,1,0,0
aws,Amazon WorkMail,workmail:ListGroups,List,Grants permission to list summaries of the organization's groups,0,1,0,0
aws,Amazon WorkMail,workmail:ListUsers,List,Grants permission to list the organization's users,0,1,0,0
aws,AWS CodeStar,codestar:AssociateTeamMember,Permissions management,Grants permission to add a user to the team for an AWS CodeStar project,0,0,1,1
aws,AWS CodeStar,codestar:CreateProject,Permissions management,"Grants permission to create a project with minimal structure, customer policies, and no resources",0,0,1,1
aws,Amazon EC2 Instance Connect,ec2-instance-connect:SendSSHPublicKey,Write,Grants permission to push an SSH public key to the specified EC2 instance to be used for standard SSH,1,0,1,0
aws,AWS Glue,glue:UpdateDevEndpoint,Write,Grants permission to update a development endpoint,0,0,1,0
aws,AWS Identity and Access Management (IAM),iam:AddUserToGroup,Write,Grants permission to add an IAM user to the specified IAM group,0,0,1,1
aws,AWS Identity and Access Management (IAM),iam:AttachGroupPolicy,Permissions management,Grants permission to attach a managed policy to the specified IAM group,0,0,1,1
aws,AWS Identity and Access Management (IAM),iam:AttachRolePolicy,Permissions management,Grants permission to attach a managed policy to the specified IAM role,0,0,1,1
aws,AWS Identity and Access Management (IAM),iam:AttachUserPolicy,Permissions management,Grants permission to attach a managed policy to the specified IAM user,0,0,1,1
aws,AWS Identity and Access Management (IAM),iam:CreateAccessKey,Write,Grants permission to create access key and secret access key for the specified IAM user,1,0,1,1
aws,AWS Identity and Access Management (IAM),iam:CreateLoginProfile,Write,Grants permission to create a password for the specified IAM user,1,0,1,1
aws,AWS Identity and Access Management (IAM),iam:CreatePolicyVersion,Permissions management,Grants permission to create a new version of the specified managed policy,0,0,1,1
aws,AWS Identity and Access Management (IAM),iam:CreateServiceLinkedRole,Write,Grants permission to create an IAM role that allows an AWS service to perform actions on your behalf,0,0,1,1
aws,AWS Identity and Access Management (IAM),iam:CreateVirtualMFADevice,Write,Grants permission to create a new virtual MFA device,0,0,1,1
aws,AWS Identity and Access Management (IAM),iam:DeleteRolePermissionsBoundary,Permissions management,Grants permission to remove the permissions boundary from a role,0,0,1,1
aws,AWS Identity and Access Management (IAM),iam:DeleteUserPermissionsBoundary,Permissions management,Grants permission to remove the permissions boundary from the specified IAM user,0,0,1,1
aws,AWS Identity and Access Management (IAM),iam:EnableMFADevice,Write,Grants permission to enable an MFA device and associate it with the specified IAM user,0,0,1,1
aws,AWS Identity and Access Management (IAM),iam:PassRole,Write,Grants permission to pass a role to a service,0,0,1,1
